TransactionAmount,TransactionTime,MerchantCategory,CustomerAge,AccountBalance,NumberOfTransactionsToday,Fraud
3748.53,23,7,25,23857.14,15,1
9507.39,19,10,53,41937.2,8,1
7321.28,10,10,25,10293.62,2,0
5988.59,16,6,75,48401.3,3,0
1564.41,7,5,77,35562.08,24,1
1564.17,3,4,67,10015.37,14,0
585.55,5,2,45,36825.55,24,1
8662.43,7,4,58,26515.51,14,1
6013.14,19,10,81,35376.14,11,0
7082.19,2,10,44,38400.59,16,1
210.74,15,3,80,4410.14,4,0
9699.25,2,10,34,25329.89,20,1
8325.26,17,1,50,46604.12,5,0
2127.33,13,8,46,16066.08,22,1
1822.34,17,5,30,29714.46,21,1
1838.13,1,4,63,18493.06,14,0
3045.9,21,8,52,22740.69,23,1
5249.94,2,7,23,27452.73,16,1
4322.29,15,2,64,27468.65,18,0
2915.84,8,1,42,10126.44,7,0
6120.47,3,11,83,34244.35,10,1
1399.24,0,4,27,4439.01,7,0
2924.99,3,8,73,6984.3,1,1
3666.79,0,2,47,185.41,23,1
4563.42,13,3,22,5878.97,21,1
7852.83,20,1,50,23684.65,19,0
2000.74,15,1,82,30324.79,16,0
5144.77,19,3,35,39724.76,19,0
5926.18,23,11,66,5379.63,4,0
469.27,7,5,28,42543.84,18,0
6077.41,6,3,43,37311.43,2,0
1709.39,2,1,80,20455.49,1,0
655.19,16,1,76,46650.26,15,0
9489.11,0,8,44,49546.93,5,1
9656.49,15,10,66,10289.84,20,1
8084.93,11,11,50,18992.47,11,0
3049.61,18,2,18,46326.15,10,0
981.23,21,3,38,36093.75,2,0
6843.91,22,2,72,2452.33,3,0
4404.32,21,3,23,39086.65,23,1
1224.77,13,7,22,41405.65,23,1
4954.29,5,1,20,37537.57,12,0
348.71,5,10,70,39986.88,20,0
9093.66,12,8,40,41265.38,5,1
2591.51,18,10,70,9360.93,5,0
6626.91,21,10,54,11822.8,6,0
3120.55,7,10,34,31706.24,9,0
5203.08,1,2,18,45397.91,2,1
5469.37,20,3,68,15844.02,21,1
1852.62,0,9,62,29435.92,12,0
9696.0,14,7,21,34164.95,3,1
7752.45,0,4,79,22624.83,20,1
9395.29,4,10,82,35703.43,22,1
8948.8,15,5,49,44988.39,12,1
5981.01,18,2,51,31223.87,24,1
9219.13,3,11,56,27012.06,17,1
889.48,2,8,43,21965.3,10,0
1963.85,16,4,51,28895.44,24,1
457.05,16,9,71,17800.35,14,0
3256.68,11,5,20,19604.53,23,1
3889.83,13,9,67,26616.28,17,0
2717.13,20,4,29,3377.62,18,0
8288.23,5,10,82,11489.82,19,0
3570.75,2,5,71,27165.32,17,1
2812.94,8,9,22,21604.83,14,0
5429.25,4,8,74,16674.15,9,1
1413.54,23,3,34,36540.93,8,0
8022.96,16,1,64,34701.19,2,0
750.13,13,3,40,8378.2,13,0
9868.93,20,4,31,43937.52,7,1
