Area (sq ft),Number of Bedrooms,House Price
1790,2,114300
2030,4,114200
1740,3,114800
1980,3,94700
2130,3,119800
1780,3,114600
1830,3,151600
2160,4,150700
2110,4,119200
1730,3,104000
2030,3,132500
1870,2,123000
1910,3,102600
2150,3,126300
2590,4,176800
1780,4,145800
2190,3,147100
1990,3,83600
1700,2,111400
1920,3,167200
1790,3,116200
2000,3,113800
1690,3,91700
1820,3,106100
2210,4,156400
2290,4,149300
2000,4,137000
1700,3,99300
1600,2,69100
2040,4,188000
2250,4,182000
1930,2,112300
2250,3,135000
2280,5,139600
2000,2,117800
2080,3,117100
1880,2,117500
2420,4,147000
1720,3,131300
1740,3,108200
1560,2,106600
1840,4,133600
1990,2,105600
1920,3,154000
1940,3,166500
1810,3,103200
1990,2,129800
2050,3,90300
1980,2,115900
1700,3,107500
2100,3,151100
1860,2,91100
2150,2,117400
2100,3,130800
1650,3,81300
1720,2,125700
2190,3,140900
2240,4,152300
1840,3,138100
2090,4,155400
2200,3,180900
1610,2,100900
2220,4,161300
1910,2,120500
1860,3,130300
1450,2,111100
2210,3,126200
2040,4,151900
2140,3,93600
2080,4,165600
1950,3,166700
2160,4,157600
1650,3,107300
2040,3,125700
2140,3,144200
1900,2,106900
1930,3,129800
2280,4,176500
2130,3,121300
1780,4,143600
2190,3,143400
2140,4,184300
2050,2,164800
2410,3,147700
1520,2,90500
2250,4,188300
1900,4,102700
1880,3,172500
1930,3,127700
2010,2,97800
1920,4,143100
2150,3,116500
2110,3,142600
2080,3,157100
2150,4,160600
1970,2,152500
2440,3,133300
2000,2,126800
2060,3,145500
2080,3,171000
2010,3,103200
2260,3,123100
2410,3,136800
2440,4,211200
1910,3,82300
2530,4,146900
2130,3,108500
1890,3,134000
1990,3,117000
2110,3,108700
1710,2,111600
1740,2,114900
1940,2,123600
2000,3,115700
2010,4,124500
1900,3,102500
2290,5,199500
1920,3,117800
1950,3,150200
1920,2,109700
1930,2,110400
1930,3,105600
2060,2,144800
1900,3,119700
2160,4,147900
2070,2,113500
2020,3,149900
2250,3,124600
